CALENDARID;OPERATION;SCHEDULETYPEID;PLANVERSIONID
29385;5-feb-17;4412043;185
29386;6-feb-17;4412041;185
29387;7-feb-17;4412041;185
29388;8-feb-17;4412041;185
29389;9-feb-17;4412041;185
29390;10-feb-17;4412041;185
29391;11-feb-17;4412027;185
29392;12-feb-17;4412043;185
29725;13-feb-17;4452012;186
29726;14-feb-17;4452012;186
29727;15-feb-17;4452012;186
29728;16-feb-17;4452012;186
29729;17-feb-17;4452012;186
29730;18-feb-17;4452016;186
29731;19-feb-17;4452038;186
29732;20-feb-17;4452012;186
29733;21-feb-17;4452012;186
29734;22-feb-17;4452012;186
29735;23-feb-17;4452012;186
29736;24-feb-17;4452012;186
29737;25-feb-17;4452016;186
29738;26-feb-17;4452038;186
30065;27-feb-17;4472018;187
30066;28-feb-17;4472018;187
30067;1-mar-17;4472018;187
30068;2-mar-17;4472018;187
30069;3-mar-17;4472018;187
30070;4-mar-17;4472019;187
30071;5-mar-17;4472020;187
31007;23-mar-17;4493122;190
31008;24-mar-17;4493122;190
31009;25-mar-17;4493016;190
31010;26-mar-17;4493038;190
31011;27-mar-17;4493122;190
31012;28-mar-17;4493122;190
31013;29-mar-17;4493122;190
31014;30-mar-17;4493122;190
31015;31-mar-17;4493122;190
31016;01-APR-17;4493016;190
31017;02-APR-17;4493038;190
31018;03-APR-17;4493122;190
31019;04-APR-17;4493122;190
31020;05-APR-17;4493122;190
31021;06-APR-17;4493122;190
31022;07-APR-17;4493122;190
31023;08-APR-17;4493016;190
31024;09-APR-17;4493038;190
32085;5-jun-17;4552018;194
32086;6-jun-17;4552018;194
32087;7-jun-17;4552018;194
32088;8-jun-17;4552018;194
32089;9-jun-17;4552018;194
33085;14-AUG-17;4612024;199
33086;15-AUG-17;4612024;199
33087;16-AUG-17;4612105;199
33088;17-AUG-17;4612105;199
33089;18-AUG-17;4612105;199
33090;19-AUG-17;4612106;199
33091;20-AUG-17;4612107;199
33092;21-AUG-17;4612095;199
33093;22-AUG-17;4612024;199
33094;23-AUG-17;4612024;199
33095;24-AUG-17;4612024;199
33096;25-AUG-17;4612024;199
33097;26-AUG-17;4612027;199
33098;27-AUG-17;4612026;199
33387;3-oct-17;4652041;208
33388;4-oct-17;4652041;208
33447;14-oct-17;4714016;211
34065;24-DEC-17;4792043;222
33445;12-oct-17;4714122;211
33446;13-oct-17;4714122;211
34066;25-DEC-17;4792128;222
34067;26-DEC-17;4792127;222
34068;27-DEC-17;4792127;222
34069;28-DEC-17;4792127;222
34207;31-DEC-17;4792038;223
34208;01-JAN-18;4792082;223
34209;02-JAN-18;4792024;223
34210;03-JAN-18;4792024;223
34211;04-JAN-18;4792024;223
34212;05-JAN-18;4792024;223
34213;06-JAN-18;4792042;223
31005;21-mar-17;4493122;190
31006;22-mar-17;4493122;190
34214;07-JAN-18;4792082;223
34215;08-JAN-18;4792082;223
39325;24-DEC-18;5172041;252
39326;25-DEC-18;5172026;252
39327;26-DEC-18;5172122;252
39328;27-DEC-18;5172122;252
39329;28-DEC-18;5172122;252
39330;29-DEC-18;5172027;252
39331;30-DEC-18;5172082;252
39332;31-DEC-18;5172041;252
39333;01-JAN-19;5172132;252
39334;02-JAN-19;5172041;252
39335;03-JAN-19;5172041;252
39336;04-JAN-19;5172041;252
39337;05-JAN-19;5172016;252
39338;06-JAN-19;5172132;252
39339;07-JAN-19;5172132;252
39340;08-JAN-19;5172041;252
39341;09-JAN-19;5172041;252
39342;10-JAN-19;5172041;252
39343;11-JAN-19;5172041;252
36425;18-mar-18;4872043;232
36426;19-mar-18;4872082;232
39344;12-JAN-19;5172016;252
39345;13-JAN-19;5172132;252
