SCHEDULETYPEID;PLANVERSIONID;SHORTNAME;DESCRIPTION
4352016;180;SAB4;Sabado 4
4352020;180;DOM1;Domingo 1
4352038;180;DOM4;Domingo4
4352042;180;SAB3;SAB3
4352046;180;DHABIL4;DIA HABIL 4
4352121;180;DOMNAV;Domingo Navidad
4352122;180;DHABIL5;Habil 5
4532018;193;DHABIL1;Dia Habil 1
4532019;193;SAB1;Sabado 1
4532020;193;DOM1;Domingo 1
4552024;195;DHABIL2;DIA HABIL 2
4552027;195;SAB2;SABADO 2
4552020;195;DOM1;Domingo 1
4552095;195;dom-fes;DOMINGO-FESTIVO
4612018;197;DHABIL1;Dia Habil 1
4612026;197;DOM2;DOMINGO 2
4612027;197;SAB2;SABADO 2
4612095;197;dom-fes;DOMINGO-FESTIVO
4612026;198;DOM2;DOMINGO 2
4612027;198;SAB2;SABADO 2
4612095;198;dom-fes;DOMINGO-FESTIVO
4612024;198;DHABIL2;DIA HABIL 2
4612105;199;HABPETR;Dia Habil Petronio
4612106;199;SABPETR;Dia Sabado Petronio
4612107;199;DOMPETR;Dia Dom Petronio
4612026;199;DOM2;DOMINGO 2
4612027;199;SAB2;SABADO 2
4612095;199;dom-fes;DOMINGO-FESTIVO
4612024;199;DHABIL2;DIA HABIL 2
4652041;200;DHABIL3;DHABIL3
4652042;200;SAB3;SAB3
4652016;202;SAB4;Sabado 4
4652038;202;DOM4;Domingo4
4652041;205;DHABIL3;DHABIL3
4652016;205;SAB4;Sabado 4
4652041;209;DHABIL3;DHABIL3
4652016;209;SAB4;Sabado 4
4714122;215;DHABIL5;Habil 5
4714016;215;SAB4;Sabado 4
4714122;216;DHABIL5;Habil 5
4714038;216;DOM4;Domingo4
4692012;219;DHABIL-4;DIA HABIL 4
4692016;219;SAB4;Sabado 4
4692038;219;DOM4;Domingo4
4692095;219;dom-fes;DOMINGO-FESTIVO
4732019;220;SAB1;Sabado 1
4732020;220;DOM1;Domingo 1
4732025;220;DHABIL;Dia Habill
4732031;220;SAB;Sabado
4732125;220;DOM1C;Domingo 1 Con Ciclovia
4732126;220;HAB-ALU;Dia Habil Alumbrado
4732026;220;DOM2;DOMINGO 2
4792043;222;DOM3;Domingo 3
4792127;222;DHABFER;Habil Feria de Cali
4792128;222;DOMFER;Domingo Feria
4792129;222;HABFER1;Dia Habil Feria 1
4872041;230;DHABIL3;DHABIL3
4872043;230;DOM3;Domingo 3
4892043;235;DOM3;Domingo 3
4892093;235;HABSANTO;DIA HABILSEMANA SANTA
4892094;235;SABSANTO;SABADO SANTO
4892109;235;DOMSANT;DOMINGO SANTO
4892041;236;DHABIL3;DHABIL3
4892042;236;SAB3;SAB3
4892043;236;DOM3;Domingo 3
4892082;236;DOM-5;Domingo 5
4912041;242;DHABIL3;DHABIL3
4912042;242;SAB3;SAB3
4912043;242;DOM3;Domingo 3
4912082;242;DOM-5;Domingo 5
4932012;243;DHABIL-4;DIA HABIL 4
4932042;243;SAB3;SAB3
4932043;243;DOM3;Domingo 3
4932082;243;DOM-5;Domingo 5
5212024;254;DHABIL2;DIA HABIL 2
5212027;254;SAB2;SABADO 2
5212043;254;DOM3;Domingo 3
5313024;257;DHABIL2;DIA HABIL 2
5313027;257;SAB2;SABADO 2
5313043;257;DOM3;Domingo 3
5313095;257;dom-fes;DOMINGO-FESTIVO
5352018;260;DHABIL1;Dia Habil 1
5352019;260;SAB1;Sabado 1
5352020;260;DOM1;Domingo 1
5352095;260;dom-fes;DOMINGO-FESTIVO
5392024;261;DHABIL2;DIA HABIL 2
5392026;261;DOM2;DOMINGO 2
5392027;261;SAB2;SABADO 2
5392095;261;dom-fes;DOMINGO-FESTIVO
5432018;262;DHABIL1;Dia Habil 1
5432019;262;SAB1;Sabado 1
5432020;262;DOM1;Domingo 1
5432095;262;dom-fes;DOMINGO-FESTIVO
4252027;179;SAB2;SABADO 2
4252043;179;DOM3;Domingo 3
4252041;179;DHABIL3;DHABIL3
4412024;183;DHABIL2;DIA HABIL 2
4412027;183;SAB2;SABADO 2
4412043;183;DOM3;Domingo 3
4412027;184;SAB2;SABADO 2
4412043;184;DOM3;Domingo 3
4412026;184;DOM2;DOMINGO 2
4412041;184;DHABIL3;DHABIL3
4412027;185;SAB2;SABADO 2
4412043;185;DOM3;Domingo 3
4412026;185;DOM2;DOMINGO 2
4412041;185;DHABIL3;DHABIL3
4452012;186;DHABIL-4;DIA HABIL 4
4452016;186;SAB4;Sabado 4
4452038;186;DOM4;Domingo4
4472018;187;DHABIL1;Dia Habil 1
4472019;187;SAB1;Sabado 1
4472020;187;DOM1;Domingo 1
4493012;189;DHABIL-4;DIA HABIL 4
4493016;189;SAB4;Sabado 4
4493038;189;DOM4;Domingo4
4493122;190;DHABIL5;Habil 5
4493016;190;SAB4;Sabado 4
4493038;190;DOM4;Domingo4
4552018;194;DHABIL1;Dia Habil 1
4552019;194;SAB1;Sabado 1
4552020;194;DOM1;Domingo 1
4552095;194;dom-fes;DOMINGO-FESTIVO
4552041;196;DHABIL3;DHABIL3
4552027;196;SAB2;SABADO 2
4552020;196;DOM1;Domingo 1
4552095;196;dom-fes;DOMINGO-FESTIVO
4652041;203;DHABIL3;DHABIL3
4652016;203;SAB4;Sabado 4
4652041;204;DHABIL3;DHABIL3
4652038;204;DOM4;Domingo4
4652041;206;DHABIL3;DHABIL3
4652038;206;DOM4;Domingo4
4714038;210;DOM4;Domingo4
4714122;210;DHABIL5;Habil 5
4714122;211;DHABIL5;Habil 5
4714016;211;SAB4;Sabado 4
4714038;212;DOM4;Domingo4
4714095;212;dom-fes;DOMINGO-FESTIVO
4714122;212;DHABIL5;Habil 5
4714122;213;DHABIL5;Habil 5
4714016;213;SAB4;Sabado 4
4714122;217;DHABIL5;Habil 5
4714016;217;SAB4;Sabado 4
4772018;221;DHABIL1;Dia Habil 1
4772026;221;DOM2;DOMINGO 2
4772027;221;SAB2;SABADO 2
4812016;224;SAB4;Sabado 4
4812038;224;DOM4;Domingo4
4812041;224;DHABIL3;DHABIL3
4832082;226;DOM-5;Domingo 5
4832012;227;DHABIL-4;DIA HABIL 4
4832043;227;DOM3;Domingo 3
4832041;226;DHABIL3;DHABIL3
4832042;226;SAB3;SAB3
4832042;227;SAB3;SAB3
4832042;228;SAB3;SAB3
4832043;228;DOM3;Domingo 3
4832082;228;DOM-5;Domingo 5
4832122;228;DHABIL5;Habil 5
4872041;229;DHABIL3;DHABIL3
4872042;229;SAB3;SAB3
4872043;234;DOM3;Domingo 3
4872042;234;SAB3;SAB3
4872041;237;DHABIL3;DHABIL3
4872042;237;SAB3;SAB3
4872043;237;DOM3;Domingo 3
4872041;239;DHABIL3;DHABIL3
4872042;239;SAB3;SAB3
4872043;239;DOM3;Domingo 3
4872082;240;DOM-5;Domingo 5
4872043;240;DOM3;Domingo 3
4932016;244;SAB4;Sabado 4
4932122;244;DHABIL5;Habil 5
4932043;244;DOM3;Domingo 3
4932082;244;DOM-5;Domingo 5
5032016;247;SAB4;Sabado 4
5032082;247;DOM-5;Domingo 5
5032012;248;DHABIL-4;DIA HABIL 4
5032042;248;SAB3;SAB3
5032043;248;DOM3;Domingo 3
5032082;248;DOM-5;Domingo 5
5092012;249;DHABIL-4;DIA HABIL 4
5092042;249;SAB3;SAB3
5092043;249;DOM3;Domingo 3
5132012;250;DHABIL-4;DIA HABIL 4
5132020;250;DOM1;Domingo 1
5132042;250;SAB3;SAB3
5132043;250;DOM3;Domingo 3
5192018;253;DHABIL1;Dia Habil 1
5192019;253;SAB1;Sabado 1
5192020;253;DOM1;Domingo 1
5372024;259;DHABIL2;DIA HABIL 2
5372027;259;SAB2;SABADO 2
5372043;259;DOM3;Domingo 3
5372095;259;dom-fes;DOMINGO-FESTIVO
4252018;178;DHABIL1;Dia Habil 1
4252020;178;DOM1;Domingo 1
4252024;178;DHABIL2;DIA HABIL 2
4252026;178;DOM2;DOMINGO 2
4252027;178;SAB2;SABADO 2
4252043;178;DOM3;Domingo 3
4352016;181;SAB4;Sabado 4
4352020;181;DOM1;Domingo 1
4352042;181;SAB3;SAB3
4352122;181;DHABIL5;Habil 5
4352018;182;DHABIL1;Dia Habil 1
4352019;182;SAB1;Sabado 1
4352020;182;DOM1;Domingo 1
4472019;188;SAB1;Sabado 1
4472020;188;DOM1;Domingo 1
4472024;188;DHABIL2;DIA HABIL 2
4493093;191;HABSANTO;DIA HABILSEMANA SANTA
4493094;191;SABSANTO;SABADO SANTO
4493109;191;DOMSANT;DOMINGO SANTO
4493122;191;DHABIL5;Habil 5
4493016;191;SAB4;Sabado 4
4493038;191;DOM4;Domingo4
4513018;192;DHABIL1;Dia Habil 1
4513019;192;SAB1;Sabado 1
4513020;192;DOM1;Domingo 1
4652041;201;DHABIL3;DHABIL3
4652043;201;DOM3;Domingo 3
4652041;207;DHABIL3;DHABIL3
4652016;207;SAB4;Sabado 4
4652041;208;DHABIL3;DHABIL3
4652038;208;DOM4;Domingo4
4714122;214;DHABIL5;Habil 5
4714038;214;DOM4;Domingo4
4714038;218;DOM4;Domingo4
4714095;218;dom-fes;DOMINGO-FESTIVO
4714016;218;SAB4;Sabado 4
4792024;223;DHABIL2;DIA HABIL 2
4792038;223;DOM4;Domingo4
4792042;223;SAB3;SAB3
4792082;223;DOM-5;Domingo 5
4792130;223;SABFER1;Dia Sabado Feria 1
4792127;223;DHABFER;Habil Feria de Cali
4812082;225;DOM-5;Domingo 5
4812016;225;SAB4;Sabado 4
4812041;225;DHABIL3;DHABIL3
4872041;231;DHABIL3;DHABIL3
4872042;231;SAB3;SAB3
4872043;232;DOM3;Domingo 3
4872082;232;DOM-5;Domingo 5
4872041;233;DHABIL3;DHABIL3
4872041;238;DHABIL3;DHABIL3
4872082;238;DOM-5;Domingo 5
4852041;241;DHABIL3;DHABIL3
4852042;241;SAB3;SAB3
4852043;241;DOM3;Domingo 3
4852082;241;DOM-5;Domingo 5
4992041;245;DHABIL3;DHABIL3
4992042;245;SAB3;SAB3
4992043;245;DOM3;Domingo 3
4992082;245;DOM-5;Domingo 5
4992105;245;HABPETR;Dia Habil Petronio
4992106;245;SABPETR;Dia Sabado Petronio
4992107;245;DOMPETR;Dia Dom Petronio
