TASKID;SCHEDULETYPEID;LINES_LINEID;PLANVERSIONID
708;4412024;437;183
709;4412027;441;183
709;4412024;142;183
710;4412027;3131;183
710;4412024;421;183
711;4412027;437;183
711;4412024;3422;183
712;4412027;437;183
712;4412024;441;183
713;4412027;441;183
713;4412024;427;183
714;4412027;437;183
714;4412024;2521;183
715;4412027;437;183
715;4412024;2243;183
716;4412027;441;183
716;4412024;371;183
717;4412027;441;183
717;4412024;142;183
718;4412027;357;183
718;4412024;142;183
719;4412027;441;183
719;4412024;140;183
720;4412027;441;183
720;4412024;441;183
721;4412027;441;183
721;4412024;377;183
722;4412027;441;183
722;4412024;2402;183
723;4412027;441;183
723;4412024;373;183
724;4412027;441;183
724;4412024;2141;183
725;4412024;2402;183
725;4412027;441;183
726;4412027;441;183
726;4412024;376;183
727;4412027;441;183
727;4412024;272;183
728;4412027;441;183
728;4412024;140;183
729;4412027;441;183
729;4412024;3192;183
730;4412024;2241;183
731;4412027;441;183
731;4412024;142;183
732;4412027;441;183
732;4412024;3372;183
733;4412027;441;183
733;4412024;272;183
734;4412024;427;183
734;4412027;441;183
735;4412027;441;183
735;4412024;150;183
736;4412027;441;183
736;4412024;3141;183
737;4412027;441;183
737;4412024;437;183
738;4412027;441;183
738;4412024;140;183
739;4412027;441;183
739;4412024;2121;183
740;4412027;140;183
740;4412024;353;183
741;4412027;140;183
741;4412024;373;183
742;4412027;140;183
742;4412024;140;183
743;4412024;2524;183
743;4412027;140;183
744;4412027;140;183
744;4412024;272;183
745;4412024;2524;183
745;4412027;140;183
746;4412027;140;183
746;4412024;142;183
747;4412024;2524;183
748;4412024;2243;183
749;4412024;2524;183
750;4412024;140;183
751;4412024;427;183
752;4412024;142;183
753;4412024;3191;183
754;4412024;3121;183
755;4412024;142;183
756;4412024;142;183
757;4412024;140;183
758;4412024;2524;183
759;4412024;2524;183
760;4412024;2524;183
761;4412024;140;183
762;4412024;272;183
763;4412024;217;183
763;4412027;551;183
764;4412024;217;183
765;4412024;142;183
766;4412024;304;183
767;4412024;217;183
768;4412024;2101;183
769;4412024;142;183
770;4412024;142;183
771;4412024;272;183
772;4412024;3412;183
773;4412024;140;183
774;4412024;311;183
775;4412024;272;183
776;4412024;3721;183
777;4412024;142;183
778;4412024;311;183
779;4412024;150;183
780;4412024;142;183
781;4412024;140;183
782;4412024;142;183
783;4412024;2121;183
784;4412024;2301;183
785;4412024;217;183
786;4412024;142;183
787;4412027;551;183
787;4412024;217;183
788;4412027;357;183
788;4412024;2242;183
789;4412024;2101;183
790;4412024;311;183
791;4412024;142;183
792;4412024;452;183
793;4412024;3412;183
794;4412024;437;183
795;4412024;140;183
796;4412024;2101;183
797;4412024;2524;183
798;4412024;140;183
799;4412024;2401;183
800;4412024;452;183
801;4412024;217;183
802;4412024;3412;183
803;4412024;373;183
804;4412024;3121;183
805;4412024;452;183
806;4412024;2101;183
807;4412024;142;183
808;4412024;140;183
809;4412024;2211;183
810;4412024;140;183
811;4412024;452;183
812;4412024;2121;183
813;4412024;2211;183
814;4412024;3141;183
815;4412024;140;183
816;4412024;3141;183
817;4412024;2121;183
818;4412024;140;183
819;4412024;271;183
820;4412024;3171;183
821;4412024;3412;183
822;4412024;140;183
823;4412024;140;183
824;4412024;441;183
825;4412024;2104;183
826;4412024;2101;183
827;4412024;437;183
828;4412024;377;183
829;4412024;3412;183
831;4412024;3141;183
832;4412024;2141;183
833;4412024;311;183
834;4412024;150;183
835;4412024;452;183
836;4412024;311;183
837;4412024;2141;183
838;4412024;441;183
839;4412024;311;183
840;4412024;437;183
841;4412024;441;183
842;4412024;3412;183
843;4412024;3412;183
844;4412024;150;183
845;4412024;3171;183
846;4412024;437;183
847;4412024;2471;183
848;4412024;311;183
849;4412024;3412;183
850;4412024;2102;183
851;4412024;437;183
852;4412024;3171;183
853;4412024;421;183
854;4412024;2102;183
855;4412024;282;183
856;4412024;437;183
857;4412024;3372;183
858;4412024;3412;183
859;4412024;2102;183
860;4412024;2801;183
861;4412024;2141;183
862;4412024;2102;183
863;4412024;452;183
864;4412024;3412;183
865;4412024;131;183
866;4412024;2242;183
867;4412024;2273;183
868;4412024;376;183
869;4412024;3372;183
870;4412024;2242;183
871;4412024;2141;183
872;4412024;2242;183
873;4412024;2102;183
874;4412024;3412;183
875;4412024;2242;183
876;4412024;2102;183
877;4412024;2242;183
878;4412024;2102;183
879;4412024;2102;183
880;4412024;373;183
881;4412024;373;183
882;4412024;373;183
883;4412024;2141;183
884;4412024;373;183
885;4412024;2102;183
886;4412024;2471;183
887;4412024;2102;183
888;4412024;2102;183
889;4412024;2102;183
890;4412024;421;183
891;4412024;452;183
892;4412024;150;183
893;4412024;2472;183
894;4412024;311;183
895;4412024;3441;183
896;4412024;2471;183
897;4412024;3011;183
898;4412024;452;183
899;4412024;3372;183
900;4412024;2471;183
901;4412024;3441;183
902;4412024;131;183
903;4412024;282;183
904;4412024;2241;183
905;4412024;452;183
906;4412024;2471;183
907;4412024;318;183
908;4412024;3123;183
